Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-DIPSAppointmentSchedule.json	3040	1	0	19	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	3443	1343	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-DIPSBasisPatientR4Reference.json	546	1	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	673	1787	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSBasisPractitionerR4.json	5829	2	0	103	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	6287	2582	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-DIPSEncounterLocation.json	6837	4	0	123	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	8355	1322	0	0	0	24	0	0
fsh-generated/resources/StructureDefinition-DIPSEncounterOrganization.json	6118	3	0	54	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	6371	1506	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-DIPSEncounterPractitionerReference.json	3073	5	0	16	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	3771	1797	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-DIPSEncounterServiceRequest.json	1771	2	0	20	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	3539	1966	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-DIPSEncounterSubjectReference.json	4768	4	0	26	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6135	1840	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-DIPSHealthcareService.json	19293	23	0	117	0	0	0	0	0	103	0	0	0	0	0	0	0	3	0	0	21230	4497	0	1	0	42	1	2
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceAddress.json	2240	0	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2096	2207	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceCommunicationProtocol.json	1078	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	686	1316	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceDepartment.json	1446	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1072	1620	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceHospital.json	1438	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1180	1613	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceIsPaperCopy.json	1433	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	1453	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceSection.json	1434	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1210	1624	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-DIPSHealthcareServiceWard.json	1422	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1466	1858	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DIPSHospitalStayEncounter.json	5498	7	0	24	0	0	0	0	0	33	0	0	1	0	0	0	0	2	0	0	6605	2006	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-DIPSLocation.json	20787	2	0	106	0	0	0	0	0	87	0	0	0	0	0	0	0	2	0	0	18186	2707	0	0	0	58	0	2
fsh-generated/resources/StructureDefinition-DIPSLocationReference.json	6168	0	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	7636	1912	0	0	0	24	1	0
